0x587b	;
0x8852	0x6669	;
0x8853	0x5bb0	;
0x8857	0x5053	;
0x8859	0x5c67	;
0x885b	0x5ecd	;
0x885d	0x63f7	;
0x8861	0x668c	;
0x8862	0x529d	;
0x8863	0x5f79	;
0x8868	0x658d	;
0x886b	0x59dc	;
0x8870	0x5b50	;
0x8872	0x68bb	;
0x8877	0x63f8	;
0x887e	0x5348	;
0x887f	0x5347	;
0x8881	0x5eb2	;
0x8882	0x56dc	;
0x8888	0x5054	;
0x888b	0x5459	;
0x888d	0x6579	;
0x8892	0x53e5	;
0x8896	0x5b80	;
0x8897	0x6b87	;
0x889e	0x51be	;
0x88ab	0x659d	;
0x88b4	0x51a6	;
0x88c1	0x6068	;
0x88c2	0x557f	;
0x88cf	0x5659	;
0x88d4	0x5da8	;
0x88d5	0x5ef5	;
0x88d9	0x6883	;
0x88dc	0x588b	;
0x88dd	0x6058	;
0x88df	0x59b8	;
0x88e1	0x696a	;
0x88e8	0x5966	;
0x88f3	0x59fe	;
0x88f4	0x57ee	;
0x88f5	0x57ed	;
0x88f8	0x54cf	;
0x88fd	0x615c	;
0x8907	0x589e	;
0x8910	0x5081	;
0x8912	0x657a	;
0x8913	0x588c	;
0x8918	0x6ac7	;
0x8919	0x57ef	;
0x8925	0x5e5e	;
0x892a	0x64d2	;
0x8936	0x5bbc	;
0x8938	0x55dd	;
0x893b	0x69bd	;
0x8941	0x50a7	;
0x8944	0x5cde	;
0x895f	0x5349	;
0x8964	0x54ee	;
0x896a	0x5697	;
0x8972	0x5bbd	;
0x897f	0x5a6b	;
0x8981	0x5e55	;
0x8983	0x53f9	;
0x8986	0x589c	;
0x8987	0x6543	;
0x898b	0x50f8	;
0x898f	0x52dd	;
0x8993	0x56c2	;
0x8996	0x5bdc	;
0x89a1	0x50ee	;
0x89a9	0x6943	;
